,0
0,Abbeville County
1,Acadia Parish
2,Accomack County
3,Ada County
4,Adair County
5,Adams County
6,Addison County
7,Aiken County
8,Alachua County
9,Alamance County
10,Alameda County
11,Alamosa County
12,Albany County
13,Albemarle County
14,Alcorn County
15,Alexander County
16,Allegan County
17,Allegany County
18,Allegheny County
19,Allen County
20,Allen Parish
21,Alpena County
22,Amador County
23,Amelia County
24,Amherst County
25,Anderson County
26,Andrew County
27,Andrews County
28,Androscoggin County
29,Angelina County
30,Anne Arundel County
31,Anoka County
32,Anson County
33,Antrim County
34,Apache County
35,Appling County
36,Aransas County
37,Arapahoe County
38,Archuleta County
39,Arkansas County
40,Arlington County
41,Armstrong County
42,Aroostook County
43,Ascension Parish
44,Ashe County
45,Ashland County
46,Ashley County
47,Ashtabula County
48,Assumption Parish
49,Atascosa County
50,Atchison County
51,Athens County
52,Atlantic County
53,Atoka County
54,Attala County
55,Audrain County
56,Auglaize County
57,Augusta County
58,Austin County
59,Autauga County
60,Avery County
61,Avoyelles Parish
62,Baker County
63,Baldwin County
64,Baltimore County
65,Bandera County
66,Banks County
67,Bannock County
68,Barbour County
69,Barnstable County
70,Barnwell County
71,Barren County
72,Barron County
73,Barrow County
74,Barry County
75,Bartholomew County
76,Barton County
77,Bartow County
78,Bastrop County
79,Bates County
80,Baxter County
81,Bay County
82,Beaufort County
83,Beauregard Parish
84,Beaver County
85,Beaverhead County
86,Becker County
87,Beckham County
88,Bedford County
89,Bee County
90,Belknap County
91,Bell County
92,Belmont County
93,Beltrami County
94,Bennington County
95,Benton County
96,Benzie County
97,Bergen County
98,Berkeley County
99,Berks County
100,Berkshire County
101,Bernalillo County
102,Berrien County
103,Bexar County
104,Bibb County
105,Bienville Parish
106,Bingham County
107,Black Hawk County
108,Bladen County
109,Blaine County
110,Blair County
111,Blanco County
112,Blount County
113,Blue Earth County
114,Bolivar County
115,Bond County
116,Bonner County
117,Bonneville County
118,Boone County
119,Bosque County
120,Bossier Parish
121,Botetourt County
122,Boulder County
123,Bourbon County
124,Bowie County
125,Box Elder County
126,Boyd County
127,Boyle County
128,Bradford County
129,Bradley County
130,Branch County
131,Braxton County
132,Brazoria County
133,Brazos County
134,Bremer County
135,Brevard County
136,Brewster County
137,Bristol County
138,Bronx County
139,Brooke County
140,Brookings County
141,Brooks County
142,Broome County
143,Broomfield County
144,Broward County
145,Brown County
146,Brunswick County
147,Bryan County
148,Buchanan County
149,Bucks County
150,Buena Vista County
151,Buffalo County
152,Bullitt County
153,Bulloch County
154,Buncombe County
155,Bureau County
156,Burke County
157,Burleigh County
158,Burleson County
159,Burlington County
160,Burnet County
161,Butler County
162,Butte County
163,Butts County
164,Cabarrus County
165,Cabell County
166,Cache County
167,Caddo County
168,Caddo Parish
169,Calaveras County
170,Calcasieu Parish
171,Caldwell County
172,Caledonia County
173,Calhoun County
174,Callahan County
175,Callaway County
176,Calloway County
177,Calumet County
178,Calvert County
179,Cambria County
180,Camden County
181,Cameron County
182,Campbell County
183,Canadian County
184,Candler County
185,Canyon County
186,Cape Girardeau County
187,Cape May County
188,Carbon County
189,Carlton County
190,Caroline County
191,Carroll County
192,Carson County
193,Carter County
194,Carteret County
195,Carver County
196,Cascade County
197,Cass County
198,Cassia County
199,Caswell County
200,Catawba County
201,Catoosa County
202,Cattaraugus County
203,Cayuga County
204,Cecil County
205,Cedar County
206,Centre County
207,Cerro Gordo County
208,Chaffee County
209,Chambers County
210,Champaign County
211,Charles County
212,Charleston County
213,Charlevoix County
214,Charlotte County
215,Chatham County
216,Chattahoochee County
217,Chattooga County
218,Chautauqua County
219,Chaves County
220,Cheatham County
221,Cheboygan County
222,Chelan County
223,Chemung County
224,Chenango County
225,Cherokee County
226,Cheshire County
227,Chester County
228,Chesterfield County
229,Chickasaw County
230,Chicot County
231,Chilton County
232,Chippewa County
233,Chisago County
234,Chittenden County
235,Christian County
236,Churchill County
237,Cibola County
238,Citrus County
239,Clackamas County
240,Claiborne County
241,Clallam County
242,Clare County
243,Clarendon County
244,Clarion County
245,Clark County
246,Clarke County
247,Clatsop County
248,Clay County
249,Clayton County
250,Clear Creek County
251,Clearfield County
252,Cleburne County
253,Clermont County
254,Cleveland County
255,Clinton County
256,Coahoma County
257,Cobb County
258,Cochise County
259,Cocke County
260,Coconino County
261,Codington County
262,Coffee County
263,Colbert County
264,Cole County
265,Coles County
266,Colfax County
267,Colleton County
268,Collier County
269,Collin County
270,Colorado County
271,Colquitt County
272,Columbia County
273,Columbiana County
274,Columbus County
275,Colusa County
276,Comal County
277,Comanche County
278,Conecuh County
279,Contra Costa County
280,Converse County
281,Conway County
282,Cook County
283,Cooke County
284,Cooper County
285,Coos County
286,Copiah County
287,Cortland County
288,Coryell County
289,Coshocton County
290,Covington County
291,Coweta County
292,Cowley County
293,Cowlitz County
294,Craig County
295,Craighead County
296,Craven County
297,Crawford County
298,Creek County
299,Crisp County
300,Crittenden County
301,Crockett County
302,Crook County
303,Cross County
304,Crow Wing County
305,Culberson County
306,Cullman County
307,Culpeper County
308,Cumberland County
309,Currituck County
310,Curry County
311,Custer County
312,Cuyahoga County
313,Dade County
314,Dakota County
315,Dale County
316,Dallam County
317,Dallas County
318,Dane County
319,Dare County
320,Darke County
321,Darlington County
322,Dauphin County
323,Davidson County
324,Davie County
325,Daviess County
326,Davis County
327,Davison County
328,Dawson County
329,De Witt County
330,DeKalb County
331,DeSoto County
332,DeWitt County
333,Deaf Smith County
334,Dearborn County
335,Decatur County
336,Defiance County
337,Del Norte County
338,Delaware County
339,Delta County
340,Denton County
341,Denver County
342,Des Moines County
343,Deschutes County
344,Desha County
345,Dickinson County
346,Dickson County
347,Dillon County
348,Dimmit County
349,Dinwiddie County
350,Dodge County
351,Dooly County
352,Door County
353,Dorchester County
354,Dougherty County
355,Douglas County
356,Drew County
357,DuPage County
358,Dubois County
359,Dubuque County
360,Dukes County
361,Dunklin County
362,Dunn County
363,Duplin County
364,Durham County
365,Dutchess County
366,Duval County
367,Dyer County
368,Eagle County
369,Eastland County
370,Eaton County
371,Eau Claire County
372,Ector County
373,Eddy County
374,Edgecombe County
375,Edgefield County
376,Effingham County
377,El Dorado County
378,El Paso County
379,Elbert County
380,Elk County
381,Elkhart County
382,Elko County
383,Ellis County
384,Elmore County
385,Emanuel County
386,Emmet County
387,Erath County
388,Erie County
389,Escambia County
390,Essex County
391,Etowah County
392,Evangeline Parish
393,Fairfax County
394,Fairfield County
395,Falls County
396,Fannin County
397,Faulkner County
398,Fauquier County
399,Fayette County
400,Fillmore County
401,Finney County
402,Flagler County
403,Flathead County
404,Florence County
405,Floyd County
406,Fluvanna County
407,Fond du Lac County
408,Ford County
409,Forrest County
410,Forsyth County
411,Fort Bend County
412,Fountain County
413,Franklin County
414,Franklin Parish
415,Frederick County
416,Freeborn County
417,Freestone County
418,Fremont County
419,Fresno County
420,Frio County
421,Fulton County
422,Gadsden County
423,Gage County
424,Gaines County
425,Gallatin County
426,Gallia County
427,Galveston County
428,Garfield County
429,Garland County
430,Garrett County
431,Garvin County
432,Garza County
433,Gaston County
434,Geary County
435,Geauga County
436,Genesee County
437,Geneva County
438,George County
439,Georgetown County
440,Gibson County
441,Gila County
442,Gilchrist County
443,Giles County
444,Gillespie County
445,Gilmer County
446,Glades County
447,Glenn County
448,Gloucester County
449,Glynn County
450,Gonzales County
451,Goochland County
452,Goodhue County
453,Gordon County
454,Grady County
455,Grafton County
456,Graham County
457,Grainger County
458,Grand County
459,Grand Forks County
460,Grand Traverse County
461,Grant County
462,Grant Parish
463,Granville County
464,Gratiot County
465,Graves County
466,Gray County
467,Grays Harbor County
468,Grayson County
469,Green County
470,Greenbrier County
471,Greene County
472,Greensville County
473,Greenup County
474,Greenville County
475,Greenwood County
476,Gregg County
477,Grenada County
478,Grimes County
479,Grundy County
480,Guadalupe County
481,Guernsey County
482,Guilford County
483,Gulf County
484,Gunnison County
485,Gwinnett County
486,Habersham County
487,Hale County
488,Halifax County
489,Hall County
490,Hamblen County
491,Hamilton County
492,Hampden County
493,Hampshire County
494,Hampton County
495,Hancock County
496,Hanover County
497,Haralson County
498,Hardee County
499,Hardeman County
500,Hardin County
501,Harford County
502,Harnett County
503,Harris County
504,Harrison County
505,Hart County
506,Hartford County
507,Hartley County
508,Harvey County
509,Hawkins County
510,Hays County
511,Haywood County
512,Hempstead County
513,Henderson County
514,Hendricks County
515,Hendry County
516,Hennepin County
517,Henrico County
518,Henry County
519,Herkimer County
520,Hernando County
521,Hertford County
522,Hickman County
523,Hidalgo County
524,Highland County
525,Highlands County
526,Hill County
527,Hillsborough County
528,Hillsdale County
529,Hinds County
530,Hocking County
531,Hockley County
532,Hoke County
533,Holmes County
534,Hood County
535,Hood River County
536,Hopkins County
537,Horry County
538,Hot Spring County
539,Houghton County
540,Houston County
541,Howard County
542,Howell County
543,Hubbard County
544,Hudson County
545,Humboldt County
546,Humphreys County
547,Hunt County
548,Hunterdon County
549,Huntingdon County
550,Huntington County
551,Huron County
552,Hutchinson County
553,Iberia Parish
554,Iberville Parish
555,Imperial County
556,Independence County
557,Indian River County
558,Indiana County
559,Ingham County
560,Inyo County
561,Ionia County
562,Iowa County
563,Iredell County
564,Iron County
565,Iroquois County
566,Isabella County
567,Isanti County
568,Island County
569,Isle of Wight County
570,Itasca County
571,Itawamba County
572,Jack County
573,Jackson County
574,James City County
575,Jasper County
576,Jay County
577,Jefferson County
578,Jefferson Parish
579,Jennings County
580,Jerome County
581,Jersey County
582,Jessamine County
583,Jim Wells County
584,Jo Daviess County
585,Johnson County
586,Johnston County
587,Jones County
588,Josephine County
589,Juab County
590,Juneau County
591,Juniata County
592,Kalamazoo County
593,Kalkaska County
594,Kanawha County
595,Kandiyohi County
596,Kane County
597,Kankakee County
598,Karnes County
599,Kaufman County
600,Kay County
601,Keith County
602,Kendall County
603,Kennebec County
604,Kenosha County
605,Kent County
606,Kenton County
607,Kern County
608,Kerr County
609,Kershaw County
610,Kewaunee County
611,Kimble County
612,King County
613,King George County
614,King William County
615,Kingfisher County
616,Kings County
617,Kit Carson County
618,Kitsap County
619,Kittitas County
620,Klamath County
621,Kleberg County
622,Knox County
623,Kootenai County
624,Kosciusko County
625,La Crosse County
626,La Paz County
627,La Plata County
628,La Salle County
629,LaGrange County
630,LaPorte County
631,LaSalle County
632,Labette County
633,Lackawanna County
634,Laclede County
635,Lafayette County
636,Lafayette Parish
637,Lafourche Parish
638,Lake County
639,Lamar County
640,Lamoille County
641,Lampasas County
642,Lancaster County
643,Lane County
644,Lapeer County
645,Laramie County
646,Larimer County
647,Las Animas County
648,Lassen County
649,Latah County
650,Lauderdale County
651,Laurel County
652,Laurens County
653,Lavaca County
654,Lawrence County
655,Le Flore County
656,Le Sueur County
657,Lea County
658,Leake County
659,Leavenworth County
660,Lebanon County
661,Lee County
662,Leelanau County
663,Leflore County
664,Lehigh County
665,Lenawee County
666,Lenoir County
667,Leon County
668,Levy County
669,Lewis County
670,Lewis and Clark County
671,Lexington County
672,Liberty County
673,Licking County
674,Limestone County
675,Lincoln County
676,Lincoln Parish
677,Linn County
678,Litchfield County
679,Live Oak County
680,Livingston County
681,Livingston Parish
682,Llano County
683,Logan County
684,Lonoke County
685,Lorain County
686,Los Angeles County
687,Loudon County
688,Loudoun County
689,Louisa County
690,Love County
691,Loving County
692,Lowndes County
693,Lubbock County
694,Lucas County
695,Lumpkin County
696,Luna County
697,Luzerne County
698,Lycoming County
699,Lyon County
700,Macomb County
701,Macon County
702,Macoupin County
703,Madera County
704,Madison County
705,Madison Parish
706,Mahaska County
707,Mahoning County
708,Malheur County
709,Manatee County
710,Manitowoc County
711,Marathon County
712,Marengo County
713,Maricopa County
714,Marin County
715,Marinette County
716,Marion County
717,Mariposa County
718,Marlboro County
719,Marquette County
720,Marshall County
721,Martin County
722,Mason County
723,Massac County
724,Matagorda County
725,Maury County
726,Maverick County
727,Mayes County
728,McClain County
729,McCracken County
730,McCulloch County
731,McCurtain County
732,McDonald County
733,McDonough County
734,McDowell County
735,McDuffie County
736,McHenry County
737,McIntosh County
738,McKean County
739,McKenzie County
740,McKinley County
741,McLean County
742,McLennan County
743,McLeod County
744,McMinn County
745,McMullen County
746,McNairy County
747,McPherson County
748,Meade County
749,Mecklenburg County
750,Mecosta County
751,Medina County
752,Meeker County
753,Meigs County
754,Mendocino County
755,Merced County
756,Mercer County
757,Meriwether County
758,Merrimack County
759,Mesa County
760,Miami County
761,Miami-Dade County
762,Middlesex County
763,Midland County
764,Mifflin County
765,Milam County
766,Millard County
767,Mille Lacs County
768,Miller County
769,Mills County
770,Milwaukee County
771,Minidoka County
772,Minnehaha County
773,Mississippi County
774,Missoula County
775,Mitchell County
776,Mobile County
777,Mohave County
778,Monmouth County
779,Mono County
780,Monongalia County
781,Monroe County
782,Montague County
783,Montcalm County
784,Monterey County
785,Montezuma County
786,Montgomery County
787,Montour County
788,Montrose County
789,Moore County
790,Morehouse Parish
791,Morgan County
792,Morris County
793,Morrison County
794,Morrow County
795,Morton County
796,Mountrail County
797,Mower County
798,Muhlenberg County
799,Multnomah County
800,Murray County
801,Muscatine County
802,Muscogee County
803,Muskegon County
804,Muskingum County
805,Muskogee County
806,Nacogdoches County
807,Napa County
808,Nash County
809,Nassau County
810,Natchitoches Parish
811,Natrona County
812,Navajo County
813,Navarro County
814,Nelson County
815,Neshoba County
816,Nevada County
817,New Castle County
818,New Hanover County
819,New Haven County
820,New Kent County
821,New London County
822,New Madrid County
823,New York County
824,Newaygo County
825,Newberry County
826,Newport County
827,Newton County
828,Nez Perce County
829,Niagara County
830,Nicholas County
831,Nicollet County
832,Noble County
833,Nobles County
834,Nodaway County
835,Nolan County
836,Norfolk County
837,Northampton County
838,Northumberland County
839,Nottoway County
840,Nueces County
841,Nye County
842,Oakland County
843,Obion County
844,Ocean County
845,Oceana County
846,Oconee County
847,Oconto County
848,Ogle County
849,Ohio County
850,Okaloosa County
851,Okanogan County
852,Okeechobee County
853,Oklahoma County
854,Okmulgee County
855,Oktibbeha County
856,Oldham County
857,Olmsted County
858,Oneida County
859,Onondaga County
860,Onslow County
861,Ontario County
862,Orange County
863,Orangeburg County
864,Orleans County
865,Orleans Parish
866,Osage County
867,Osceola County
868,Oswego County
869,Otero County
870,Otoe County
871,Otsego County
872,Ottawa County
873,Otter Tail County
874,Ouachita County
875,Ouachita Parish
876,Outagamie County
877,Overton County
878,Owen County
879,Oxford County
880,Ozaukee County
881,Page County
882,Palm Beach County
883,Palo Pinto County
884,Panola County
885,Park County
886,Parker County
887,Pasco County
888,Pasquotank County
889,Passaic County
890,Paulding County
891,Pawnee County
892,Payette County
893,Payne County
894,Peach County
895,Pearl River County
896,Pecos County
897,Pemiscot County
898,Pender County
899,Pennington County
900,Penobscot County
901,Peoria County
902,Perry County
903,Person County
904,Pettis County
905,Phelps County
906,Philadelphia County
907,Piatt County
908,Pickaway County
909,Pickens County
910,Pierce County
911,Pike County
912,Pima County
913,Pinal County
914,Pine County
915,Pinellas County
916,Pitkin County
917,Pitt County
918,Pittsburg County
919,Pittsylvania County
920,Placer County
921,Plaquemines Parish
922,Platte County
923,Plymouth County
924,Poinsett County
925,Polk County
926,Pontotoc County
927,Pope County
928,Portage County
929,Porter County
930,Posey County
931,Pottawatomie County
932,Pottawattamie County
933,Potter County
934,Poweshiek County
935,Powhatan County
936,Prairie County
937,Preble County
938,Prentiss County
939,Preston County
940,Prince Edward County
941,Prince George County
942,Prince George's County
943,Prince William County
944,Providence County
945,Pueblo County
946,Pulaski County
947,Putnam County
948,Quay County
949,Queen Anne's County
950,Queens County
951,Rabun County
952,Racine County
953,Rains County
954,Raleigh County
955,Ramsey County
956,Randall County
957,Randolph County
958,Rankin County
959,Rapides Parish
960,Ravalli County
961,Ray County
962,Reagan County
963,Redwood County
964,Reeves County
965,Refugio County
966,Reno County
967,Rensselaer County
968,Rhea County
969,Rice County
970,Richland County
971,Richland Parish
972,Richmond County
973,Riley County
974,Rio Arriba County
975,Ripley County
976,Riverside County
977,Roane County
978,Roanoke County
979,Robertson County
980,Robeson County
981,Rock County
982,Rock Island County
983,Rockbridge County
984,Rockcastle County
985,Rockdale County
986,Rockingham County
987,Rockland County
988,Rockwall County
989,Rogers County
990,Roosevelt County
991,Roscommon County
992,Ross County
993,Routt County
994,Rowan County
995,Runnels County
996,Rush County
997,Rusk County
998,Russell County
999,Rutherford County
1000,Rutland County
1001,Sabine Parish
1002,Sacramento County
1003,Sagadahoc County
1004,Saginaw County
1005,Salem County
1006,Saline County
1007,Salt Lake County
1008,Saluda County
1009,Sampson County
1010,San Benito County
1011,San Bernardino County
1012,San Diego County
1013,San Francisco County
1014,San Jacinto County
1015,San Joaquin County
1016,San Juan County
1017,San Luis Obispo County
1018,San Mateo County
1019,San Miguel County
1020,San Patricio County
1021,Sandoval County
1022,Sandusky County
1023,Sangamon County
1024,Sanilac County
1025,Santa Barbara County
1026,Santa Clara County
1027,Santa Cruz County
1028,Santa Fe County
1029,Santa Rosa County
1030,Sarasota County
1031,Saratoga County
1032,Sarpy County
1033,Sauk County
1034,Saunders County
1035,Schenectady County
1036,Schoharie County
1037,Schuyler County
1038,Schuylkill County
1039,Scioto County
1040,Scotland County
1041,Scott County
1042,Scotts Bluff County
1043,Scurry County
1044,Sebastian County
1045,Sedgwick County
1046,Seminole County
1047,Seneca County
1048,Sequoyah County
1049,Sevier County
1050,Seward County
1051,Shasta County
1052,Shawano County
1053,Shawnee County
1054,Sheboygan County
1055,Shelby County
1056,Shenandoah County
1057,Sherburne County
1058,Sheridan County
1059,Shiawassee County
1060,Silver Bow County
1061,Simpson County
1062,Sioux County
1063,Siskiyou County
1064,Skagit County
1065,Smith County
1066,Smyth County
1067,Snohomish County
1068,Snyder County
1069,Socorro County
1070,Solano County
1071,Somerset County
1072,Somervell County
1073,Sonoma County
1074,Southampton County
1075,Spalding County
1076,Spartanburg County
1077,Spencer County
1078,Spokane County
1079,Spotsylvania County
1080,St. Charles County
1081,St. Clair County
1082,St. Croix County
1083,St. Francis County
1084,St. Francois County
1085,St. Johns County
1086,St. Joseph County
1087,St. Lawrence County
1088,St. Louis County
1089,St. Lucie County
1090,St. Mary's County
1091,Stafford County
1092,Stanislaus County
1093,Stanly County
1094,Stark County
1095,Starke County
1096,Starr County
1097,Ste. Genevieve County
1098,Stearns County
1099,Steele County
1100,Stephens County
1101,Stephenson County
1102,Steuben County
1103,Stevens County
1104,Stoddard County
1105,Stokes County
1106,Stone County
1107,Story County
1108,Strafford County
1109,Stutsman County
1110,Suffolk County
1111,Sullivan County
1112,Summit County
1113,Sumner County
1114,Sumter County
1115,Sunflower County
1116,Surry County
1117,Susquehanna County
1118,Sussex County
1119,Sutter County
1120,Sutton County
1121,Suwannee County
1122,Swain County
1123,Sweetwater County
1124,Talbot County
1125,Talladega County
1126,Tallapoosa County
1127,Taney County
1128,Tangipahoa Parish
1129,Taos County
1130,Tarrant County
1131,Tate County
1132,Tattnall County
1133,Taylor County
1134,Tazewell County
1135,Tehama County
1136,Teller County
1137,Terrebonne Parish
1138,Terry County
1139,Teton County
1140,Texas County
1141,Thomas County
1142,Thurston County
1143,Tift County
1144,Tillamook County
1145,Tioga County
1146,Tippah County
1147,Tippecanoe County
1148,Tipton County
1149,Tishomingo County
1150,Titus County
1151,Todd County
1152,Tolland County
1153,Tom Green County
1154,Tompkins County
1155,Tooele County
1156,Toombs County
1157,Torrance County
1158,Transylvania County
1159,Travis County
1160,Trempealeau County
1161,Trigg County
1162,Trinity County
1163,Troup County
1164,Trumbull County
1165,Tulare County
1166,Tulsa County
1167,Tunica County
1168,Tuolumne County
1169,Turner County
1170,Tuscaloosa County
1171,Tuscarawas County
1172,Tuscola County
1173,Twiggs County
1174,Twin Falls County
1175,Tyler County
1176,Uinta County
1177,Uintah County
1178,Ulster County
1179,Umatilla County
1180,Union County
1181,Union Parish
1182,Upshur County
1183,Upson County
1184,Upton County
1185,Utah County
1186,Uvalde County
1187,Val Verde County
1188,Valencia County
1189,Van Buren County
1190,Van Wert County
1191,Van Zandt County
1192,Vance County
1193,Vanderburgh County
1194,Venango County
1195,Ventura County
1196,Vermilion County
1197,Vermilion Parish
1198,Vermillion County
1199,Vernon County
1200,Vernon Parish
1201,Victoria County
1202,Vigo County
1203,Vilas County
1204,Volusia County
1205,Wabash County
1206,Wabasha County
1207,Wagoner County
1208,Wake County
1209,Wakulla County
1210,Waldo County
1211,Walker County
1212,Walla Walla County
1213,Waller County
1214,Walton County
1215,Walworth County
1216,Wapello County
1217,Ward County
1218,Ware County
1219,Warren County
1220,Warrick County
1221,Wasatch County
1222,Wasco County
1223,Waseca County
1224,Washington County
1225,Washington Parish
1226,Washita County
1227,Washoe County
1228,Washtenaw County
1229,Watauga County
1230,Waukesha County
1231,Waupaca County
1232,Waushara County
1233,Wayne County
1234,Weakley County
1235,Webb County
1236,Weber County
1237,Webster County
1238,Webster Parish
1239,Weld County
1240,Wells County
1241,Westchester County
1242,Westmoreland County
1243,Wexford County
1244,Wharton County
1245,Whatcom County
1246,Wheeler County
1247,White County
1248,Whiteside County
1249,Whitfield County
1250,Whitley County
1251,Whitman County
1252,Wichita County
1253,Wicomico County
1254,Wilbarger County
1255,Wilkes County
1256,Will County
1257,Willacy County
1258,Williams County
1259,Williamsburg County
1260,Williamson County
1261,Wilson County
1262,Windham County
1263,Windsor County
1264,Winkler County
1265,Winnebago County
1266,Winneshiek County
1267,Winona County
1268,Winston County
1269,Wise County
1270,Wood County
1271,Woodbury County
1272,Woodford County
1273,Woodward County
1274,Worcester County
1275,Worth County
1276,Wright County
1277,Wyandot County
1278,Wyandotte County
1279,Wyoming County
1280,Wythe County
1281,Yadkin County
1282,Yakima County
1283,Yalobusha County
1284,Yamhill County
1285,Yates County
1286,Yavapai County
1287,Yazoo County
1288,Yell County
1289,Yellowstone County
1290,Yoakum County
1291,Yolo County
1292,York County
1293,Young County
1294,Yuba County
1295,Yuma County
